titre,date,extrait
La chaîne d’information internationale i24NEWS arrive au Maroc,2022-05-31,"i24NEWS, la chaîne d’information internationale du groupe Altice, annoncera par la voix de son PDG Frank Melloul, l’ouverture de deux bureaux au Maroc, lors d’un gala qui se tiendra ce soir à Rabat. "
Carburants au Maroc: le prix de l’essence va augmenter d’un dirham !,2022-05-31,"Les prix des carburants vont encore changer. Selon une source sûre de Le Site info, le coût de l’essence va augmenter d’environ un dirham à partir du 1er juin tandis que celui du gasoil va baisser de 50 centimes pour se fixer à 14 dirhams dans la plupart des stations-service."
"Royal Air Maroc, première compagnie africaine certifiée Cargo iQ",2022-05-31,"Royal Air Maroc a obtenu, récemment, la certification Cargo iQ en conformité avec les normes Cargo iQ de gestion de la qualité de l’industrie du transport de fret aérien."
La Bourse de Casablanca ouvre ce mardi à l’équilibre,2022-05-31,"La Bourse de Casablanca évoluait proche de l’équilibre, mardi matin, son indice principal, le Masi prenant 0,01% à 12.322,1 points (pts)."
Devises vs Dirham: les cours de change de ce mardi 31 mai,2022-05-31,Voici les cours des devises étrangères contre le dirham établis par Bank Al-Maghrib pour la journée du mardi 31 mai 2022:
La Bourse de Casablanca clôture la séance dans le rouge,2022-05-30,"La Bourse de Casablanca a clôturé la séance dans le rouge, ce lundi, le MASI ayant baissé de 0,11% à 12.321,15 points (pts)."
Barid Al-Maghrib: protocoles de coopération avec les Postes tunisienne et mauritanienne,2022-05-30,"En marge de la 11ème édition d’Africa Postal Forum, qui s’est tenu les 27 et 28 mai 2022 à Marrakech, sous le thème « La Poste africaine face aux grandes mutations mondiales », le Groupe Barid Al-Maghrib a procédé à la signature de deux mémorandums d’accords avec, d’un côté, la Poste Tunisienne et, de l’autre côté, la Poste de Mauritanie. "
"Douanes: près de 5,4 MMDH de recettes en 2021",2022-05-30,"Les les recettes en droits et taxes additionnels se sont élevées à plus de 5,39 MMDH en 2021, enregistrant une augmentation de 21% par rapport aux réalisations de 2020, selon l’Administration des Douanes et Impôts Indirects (ADII)."
Devises vs Dirham: les cours de change de ce lundi 30 mai,2022-05-30,Voici les cours des devises étrangères contre le dirham établis par Bank Al-Maghrib pour la journée du lundi 30 mai 2022:
Ouverture: la Bourse de Casablanca débute en hausse ce lundi,2022-05-30,"La Bourse de Casablanca a ouvert en hausse lundi, son indice principal, le Masi, progressant de 0,36% à 12.379,30 points (pts)."
"Marché monétaire (20-26 mai): le déficit de liquidité à 74,8 MMDH",2022-05-28,"Le déficit de liquidité des banques s’est accentué en avril à 74,8 milliards de dirhams (MMDH), en creusement de 11,4 MMDH sur l’année, ressort-il de la publication « Weekly Hebdo Taux – Fixed Income » d’Attijari Global Research (AGR) de la période du 20 au 26 mai. À quelques semaines de la prochaine réunion de politique monétaire de Bank Al-Maghrib, le marché interbancaire demeure équilibré avec des taux interbancaires en ligne avec le Taux Directeur, indique AGR. L’indice MONIA (Ndlr, Moroccan Overnight Index Average: indice monétaire de référence au jour le jour, calculé sur la base des transactions de pensions livrées ayant comme collatéral les bons du Trésor) augmente de 1 point de base en une semaine à 1,43%. BAM a réduit cette semaine ses interventions à travers ses opérations principales de 4,6 MMDH à 41,4 MMDH."
La Bourse de Casablanca: récap de la semaine (23-27 mai),2022-05-28,"La Bourse de Casablanca a clôturé la période allant du 23 au 27 mai dans le rouge, son principal indice, le Masi, cédant 2,31% à 12.334,93 points."
Nouvelle consécration pour le port Tanger Med,2022-05-27,"Le Port de Tanger Med a été classé en 6e position, sur 370 ports, dans la deuxième édition de l’indice mondial de performance des ports à conteneurs (CPPI) au titre de l’année 2021."
Casablanca: Shoeleven Company ouvre une nouvelle unité industrielle,2022-05-27,"La société marocaine Shoeleven Company a inauguré, ce vendredi à Casablanca, une nouvelle unité industrielle lors d’une cérémonie présidée par le ministre de l’Industrie et du commerce, Ryad Mezzour."
La Bourse de Casablanca clôture ce vendredi dans le rouge,2022-05-27,"La Bourse de Casablanca a clôturé dans le rouge, ce vendredi, l’indice de toutes les valeurs, le Masi, lâchant 0,62% à 12.334,93 points (pts)."
Mehdi Reddad dévoile son affiche de campagne (VIDEO),2022-05-27,"Inspirée de ses rencontres avec les Français en Afrique, cette affiche se distingue par son dynamisme avec un fond montrant des gens en mouvement, et par ses couleurs chaudes propres au continent."
Marché monétaire: creusement du déficit de liquidité bancaire (19-25 mai),2022-05-27,"Le déficit de liquidité bancaire s’est creusé de 4,42% pour s’établir à -80,7 milliards de dirhams (MMDH) durant la période allant du 19 au 25 mai courant, selon BMCE Capital Global Research (BKGR)."
La Bourse de Casablanca débute en hausse ce vendredi,2022-05-27,"La Bourse de Casablanca a ouvert en hausse vendredi, son indice principal, le Masi, progressant de 0,11% à 12.425,21 points (pts)."
Devises vs Dirham: les cours de change de ce vendredi 27 mai,2022-05-27,Voici les cours des devises étrangères contre le dirham établis par Bank Al-Maghrib pour la journée du vendredi 27 mai 2022:
"Voiladoc, première plateforme de télémédecine au Maroc (VIDEO)",2022-05-27,"La télémédecine, reconnue par l’OMS comme étant une composante de la médecine moderne, est  devenue aujourd’hui une pratique médicale généralisée dans les pays développés. Dans ce cadre, le  Maroc s’est attelé depuis quelques années à la modernisation du secteur de la santé en permettant,  entre autres, aux capitaux marocains et étrangers d’y investir, notamment dans le domaine de la  digitalisation des services de santé, condition sine qua non à l’amélioration de l’accès aux soins et à la  généralisation de la couverture médicale.  "
