titre,date,extrait
Les autorités financières mettent en garde les utilisateurs des cryptomonnaies,2022-04-05,"En dépit des précédentes mises au point relatives aux risques associés à l’utilisation des monnaies virtuelles du type Bitcoin, il a été constaté que des personnes physiques et morales continuent d’utiliser ce type de procédés."
"Maroc: baisse de 6,26% des ventes automobiles à fin mars 2022",2022-04-05,"Par segment, le nombre des nouvelles immatriculations de véhicules particuliers (VP) s’est élevé à 36.977 unités, en repli de 5,5%, tandis que celui des véhicules utilitaires légers (VUL) s’est chiffré à 4.422 unités (-12,16%)."
Une grosse prise de participation d’Elon Musk propulse Twitter à Wall Street,2022-04-04,"Patron du fabricant de véhicules électriques Tesla et de la société de vols spatiaux SpaceX, Elon Musk mettait en orbite Twitter lundi après avoir rendu publique une importante prise de participation dans le réseau social qu’il accuse pourtant de restreindre la liberté d’expression."
"Carburant, Ramadan… le prix du poisson va-t-il grimper?",2022-04-03,"Les prix du poisson sont stables ou ont augmenté modérément. Et cela malgré la hausse du prix du carburant pour les bateaux. Du moins, jusqu’à présent…"
Finances locales: le bulletin de la TGR en 6 points clés,2022-04-03,Voici six points clés du bulletin mensuel de statistiques des finances locales (BMSFL) de la Trésorerie Générale du Royaume (TGR) pour le mois de février 2022:
Crédits/dépôts: l’essentiel du tableau de bord de BAM,2022-04-03,Voici cinq points clés du tableau de bord « crédits et dépôts bancaires » de Bank Al-Maghrib (BAM) au titre du mois de février 2022:
Bourse de Casablanca: l’essentiel du résumé hebdomadaire,2022-04-02,Voici l’essentiel du résumé hebdomadaire de la Bourse de Casablanca pour la semaine allant du 26 mars au 1er avril:
Phosphates et dérivés: les exportations ont doublé à fin février 2022,2022-04-01,"Cette évolution fait suite à l’augmentation des ventes des engrais naturels et chimiques (+4,48 MMDH) due à l’effet prix qui a presque triplé (7.214 DH/T à fin février 2022 contre seulement 2.996 DH/T à fin février 2021), indique l’Office dans sa récente note sur les indicateurs mensuels des échanges extérieurs, notant qu’en revanche, les quantités exportées ont reculé de 16,4%."
"Automobile: les exportations marocaines progressent de 4,1% à fin février 2022",2022-04-01,"Les exportations de l’automobile ont affiché une hausse de 4,1% à fin février 2022 pour s’établir à quelque 15,74 milliards de dirhams (MMDH), selon l’Office des changes."
"Les transferts des MRE en hausse de 22,5% à fin février 2021",2022-04-01,"Les transferts de fonds effectués par les Marocains Résidents à l’Étranger (MRE) se sont établis à 12,31 milliards de dirhams (MDH) à fin février 2021 en hausse de 22,5%, selon l’Office des changes."
"Le déficit commercial s’allège de 15,9% à fin février 2021",2022-03-31,"Le déficit commercial du Maroc s’est allégé de 15,9% à fin février 2021 par rapport à la même période en 2020, pour s’établir à 24,94 milliards de dirhams (MMDH), selon l’Office des changes."
Le texte sur les guides touristiques adopté en conseil de gouvernement,2022-03-31,"Le Conseil de gouvernement, réuni jeudi sous la présidence du chef du gouvernement, Aziz Akhannouch, a approuvé le projet de loi N° 19-22 modifiant la loi N° 05-12 relatif à l’organisation de la profession de guide de tourisme et ce, dans le cadre de poursuite de la réforme réglementaire liée à ce métier."
Ukraine: la récolte de céréales en risque d’être divisée par deux,2022-03-31,"Champs dévastés ou bombardés, ouvriers partis combattre, logistique ruinée: l’invasion russe risque de diviser par deux la récolte de céréales en Ukraine, cruciale pour l’alimentation mondiale, a prévenu le ministre ukrainien de l’Agriculture dans un entretien à l’AFP."
Vivo Energy Maroc s’engage en faveur de l’Ecole parallèle,2022-03-31,"Vivo Energy Maroc, l’entreprise en charge de la distribution, de la commercialisation de carburants et de lubrifiants de marque Shell au Maroc et de Gaz de Pétrole Liquéfié de marque Butagaz, renouvelle cette année son partenariat avec l’association l’Heure Joyeuse pour consolider l’initiative de l’École Parallèle."
"Au Maroc, le crédit bancaire se stabilise en février 2022",2022-03-31,"Le crédit bancaire au secteur non financier a vu sa croissance se stabiliser, en glissement annuel, à 3,3% au cours du mois de février 2022, selon Bank Al-Maghrib (BAM)."
"Industrie: au Maroc, les prix à la production en hausse de 0,8% en février",2022-03-30,"L’indice des prix à la production du secteur des « Industries manufacturières hors raffinage de pétrole » a enregistré une hausse de 0,8% en février 2022 par rapport au mois de janvier 2022, selon le Haut-Commissariat au Plan (HCP)."
Vidéo. Casablanca: la CGEM reçoit une délégation du patronat israélien,2022-03-29,"La Confédération générale des entreprises du Maroc a reçu ce mardi 29 mars une délégation du patronat israélien, conduite par Ron Tomer, président de l’Israeli Employers and Business Organizations (IEBO)."
Maroc-Israël: la compagnie Israir lancera des vols Tel Aviv-Marrakech dès avril 2022,2022-03-29,"La participation de l’ONMT au salon IMTM Tel-Aviv commence fort avec la rencontre entre Adel El Fakir, DG de l’ONMT, et Rami Levi, célèbre homme d’affaire israélien et propriétaire notamment de la deuxième compagnie aérienne israélienne Israir."
"Négociations Russie-Ukraine, confinement en Chine: le pétrole perd 5%",2022-03-29,"Les deux références du pétrole perdaient plus de 5% mardi, après les progrès annoncés dans les négociations entre l’Ukraine et la Russie, mais aussi en raison du confinement en Chine qui pèse sur la demande."
Vidéo. Tourisme Maroc-Israël: l’ONMT met le cap sur Tel-Aviv,2022-03-29,"L’Office National Marocain du Tourisme (ONMT) a participé, les 29 et 30 mars 2022, au Salon International Mediterranean Tourism Market (IMTM) de Tel-Aviv, le plus grand rendez-vous de l’industrie touristique en Israël."
Financement: Attijariwafa bank toujours à fond(s) pour les TPME,2022-03-29,"Malgré la conjoncture difficile, le groupe Attijariwafa bank ne ménage pas ses efforts en faveur des entreprises, y compris les TPME, en consacrant cette année une enveloppe substantielle de 30 milliards de DH, dédié à leur financement."
HCP: 37% des entreprises se disent en difficulté financière,2022-03-29,"Les anticipations des chefs d’entreprises du secteur des services marchands non financiers, pour le 1er trimestre 2022 (T1-2022), révèlent une diminution de l’activité globale, selon 25% d’entre eux, et une hausse selon 22%, selon le Haut-Commissariat au Plan (HCP). Et 37% des chefs d’entreprises se disent encore en difficulté financière."
Jacques de Peretti nommé président du Conseil d’Administration d’AXA Assurance Maroc,2022-03-28,"Jacques de Peretti a été nommé Président du Conseil d’Administration d’AXA Assurance Maroc, en remplacement de Philippe Rocard."
"MIM, le salon marocain de textile de retour",2022-03-28,"L’Association Marocaine des Industries du Textile et de l’Habillement (AMITH) organise, les 30 et 31 mars au Parc d’exposition Mohammed VI à El Jadida, la 18e édition du salon Maroc in Mode (MIM) qui rassemblera tout le maillage de l’industrie textile et habillement sous la thématique de la durabilité « Dayem » (durable en arabe)."
Sécheresse au Maroc: la Banque mondiale approuve un prêt de 180 millions de dollars,2022-03-28,La Banque mondiale vient d’approuver un financement de projet d’investissement d’un montant de 180 millions de dollars en vue d’appuyer une agriculture résiliente et durable au Maroc.
"Vidéo. Dattes: une offre abondante, des prix légèrement à la hausse",2022-03-27,"Produit de terroir à forte connotation culturelle, la datte est consommée essentiellement au mois de Ramadan. Si l’offre est à la fois variée et abondante, les prix, eux, sont relativement élevés. Grand-angle."
Les indicateurs hebdomadaires de BAM en 5 points clés,2022-03-27,Voici cinq points clés des indicateurs hebdomadaires de Bank Al-Maghrib (BAM) au titre de la période allant du 17 au 23 mars 2022 :
Sécheresse: le Maroc obtient un prêt de la Banque mondiale pour la gestion de l’eau,2022-03-26,"La Banque mondiale va allouer un prêt de 180 millions de dollars pour améliorer la gestion hydrique au Maroc, frappé par une sécheresse historique et menacé de pénurie d’eau, a annoncé l’institution."
Casablanca Finance City en tête des centres financiers en Afrique,2022-03-26,"La place financière Casablanca Finance City (CFC) occupe désormais la 54e position mondiale dans la dernière édition du classement des meilleurs centres financiers internationaux, établi par le Global Financial Centres Index (GFCI), et maintient sa première position en Afrique."
Bourse de Casablanca: les tops et les flops de la semaine,2022-03-26,Voici les meilleures et plus mauvaises performances des valeurs cotées à la Bourse de Casablanca pour la semaine allant du 21 au 25 mars 2022 :
L’Office des change crée une plateforme contre le blanchiment d’argent,2022-03-25,"L’Office des changes a annoncé, vendredi, la mise en ligne sur son portail web, d’une nouvelle rubrique baptisée « Change manuel et LBC/FT » (Lutte contre le Blanchiment de Capitaux et le Financement du Terrorisme)."
Tanger-Assilah: presque 1500 jeunes ont bénéficié du projet Awrach,2022-03-25,"Quelque 1.496 personnes devraient bénéficier du programme « Awrach », au niveau de la préfecture de Tanger-Assilah au titre de l’année 2022."
Industrie automobile: les détails des 8 conventions d’investissement signées le 24 mars,2022-03-25,– Nouvelle usine de production de câblage automobile à Meknès d’un investissement de 371 millions de dirhams (MDH) et la création de 2.300 emplois directs ;
La chambre de commerce portugaise ouvrira une délégation à Tanger,2022-03-25,"La Chambre de Commerce, d’Industrie et des Services du Portugal au Maroc (CCISPM) va créer sa première délégation régionale au Maroc dans la ville de Tanger. Objectifs : accompagner les communautés d’affaires situées dans la région du Nord du Royaume en matière d’échanges commerciaux et de Co-investissement avec le Portugal."
"Vidéo. Industrie automobile: 1,7 milliard DH pour huit projets et 12.000 emplois",2022-03-24,"Huit conventions d’investissement dans le secteur automobile ont été signées, jeudi à Rabat, pour un montant de 1,7 milliard de dirhams (MMDH), permettant la création de 12.000 emplois."
HCP: comprendre l’inflation au Maroc en 9 points,2022-03-24,Voici neuf points clés de la note du Haut-Commissariat au Plan (HCP) sur l’évolution de l’inflation au Maroc :
"OCP: distribution d’un montant record de 8,1 milliards DH de dividendes",2022-03-24,"Le Conseil d’administration du Groupe OCP, réuni le 15 mars, a proposé la distribution de 8,1 milliards de dirhams (MMDH) de dividendes vers l’actionnaire, soit un montant record en marge des résultats exceptionnels d’OCP pour l’année 2021."
HCP: les industriels prévoient une stabilité de la production,2022-03-24,"Les entreprises de l’industrie manufacturière s’attendent à une stabilité de leur production au premier trimestre 2022, selon le Haut-Commissariat au Plan (HCP)."
"Le pétrole repasse les 120 dollars, prêt à aller encore plus haut",2022-03-24,"Les prix du pétrole sont repassés au-dessus du seuil des 120 dollars le baril mercredi, stimulés par la perspective de nouvelles sanctions contre la Russie, la chute des stocks américains et des dégâts sur un terminal pétrolier russe."
Le Maroc signe un mémorandum d’entente avec Israel Aerospace Industries,2022-03-23,"Un mémorandum d’entente dans le secteur aéronautique a été signé, mercredi 23 mars, lors de la rencontre entre le Ministre de l’Industrie et du Commerce, Ryad Mezzour, et le Président du conseil d’administration de la société Israel Aerospace Industries (IAI), Amir Peretz."
Tourisme: Air France reprend les destinations Tanger et Agadir,2022-03-23,"Après Londres, c’est à Paris où l’Office National Marocain du Tourisme (ONMT) a mené une opération reconquête du marché français, marquée par le retour en force d’Air France sur la destination Maroc."
"Vidéo. Entretiens, à Rabat, entre Aziz Akhannouch et le président de la Banque mondiale",2022-03-23,"Le chef du gouvernement, Aziz Akhannouch, s’est entretenu, mercredi à Rabat, avec le président du Groupe de la Banque mondiale, David Malpass."
Officiel. Voici le montant des aides du gouvernement aux professionnels du transport,2022-03-23,"Le gouvernement a officiellement dévoilé, ce mercredi 23 mars 2022, le processus de soutien exceptionnel aux professionnels du secteur du transport routier qui a été annoncé lors du Conseil de gouvernement du 10 mars 2022, et qui concernera environ 180.000 véhicules."
E-commerce: Chari étend ses activités à l’ensemble du territoire marocain,2022-03-23,"Après un premier test concluant sur l’axe El Jadida-Tanger, l’application de e-commerce Chari annonce l’extension progressive de son activité à l’ensemble du territoire marocain."
Tamwilcom annonce une progression soutenue de son activité en 2021,2022-03-23,"Nadia Fettah Alaoui, ministre de l’Economie et des Finances, a présidé le mardi 22 mars à Rabat la 3e réunion du Conseil d’Administration de la Société Nationale de Garantie et du Financement de l’Entreprise (SNGFE), portant le nom de marque Tamwilcom. Cette séance a été consacrée principalement à l’examen du rapport de gestion et à l’arrêté des comptes au titre de l’exercice 2021."
Le président de la Banque mondiale attendu ce mercredi au Maroc,2022-03-23,"Le Président du Groupe de la Banque mondiale, David Malpass, se rendra mercredi au Maroc pour une visite de deux jours, a annoncé le Groupe dans un communiqué."
"Vidéo. «Le Maroc ne connaît pas une stagflation», rassure Abdellatif Jouahri",2022-03-23,"Le Maroc ne connaît pas actuellement une situation de stagflation, a assuré, mardi à Rabat, le Wali de Bank Al-Maghrib (BAM), Abdellatif Jouahri."
"Transferts MRE: près de 80 milliards de dirhams prévus en 2022, selon BAM",2022-03-23,"Les transferts des Marocains résidant à l’étranger (MRE) devraient s’établir à 79,3 milliards de dirhams au titre de l’année 2022, après un niveau exceptionnel de 93,3 MMDH en 2021, selon les prévisions de Bank Al-Maghrib (BAM)."
Le Maroc et Israël tiennent le premier sommet sur l’investissement touristique,2022-03-22,"Le « Morocco Israel Tourism Investment Summit » s’est tenu, mardi en format digital, en vue de promouvoir l’investissement touristique auprès de la communauté israélienne."
Industrie: deux nouveaux parcs en chantier à Had Soualem et Sahel Lakhyayta,2022-03-22,"Conclues avec le groupement constitué de Axa Assurance, la Caisse Marocaine des Retraites (CMR), FYM Holding et IRG Partners, ces conventions de partenariat portent sur l’extension de la zone industrielle de Had Soualem (51 Ha) et le développement d’une nouvelle zone industrielle à Sahel Lakhyayta (60 Ha)."
"BAM: la croissance confortée au Maroc, l’inflation s’envole",2022-03-22,"Au Maroc, la croissance économique devrait se situer à 0,7% en 2022 alors que l’inflation risque de grimper jusqu’à 4,7% en 2022, selon Bank Al-Maghrib."
"Bank Al-Maghrib maintient inchangé son taux directeur à 1,5%",2022-03-22,"Le Conseil de Bank Al-Maghrib (BAM) a décidé, mardi, de maintenir inchangé le taux directeur à 1,5% à l’issue de sa première réunion trimestrielle de l’année 2022."
"L’inflation au Maroc reste maîtrisée, selon les experts du ministère de l’Economie",2022-03-22,"Selon la Direction des Études et des Prévisions Financières (DEPF), la consommation des ménages devrait maintenir une tendance positive."
"Énergie: la production d’électricité a progressé de 3,4% en 2022",2022-03-22,"La production de l’énergie électrique s’est accrue de 3,4% au terme du premier mois de 2022, après une hausse de 1,8% un an auparavant, selon la Direction des Études et des Prévisions Financières (DEPF) relevant du ministère de l’Economie et des finances."
La livre égyptienne perd brutalement près de 17% face au dollar,2022-03-21,"La livre égyptienne s’échangeait lundi à 18,2 pour un dollar, perdant près de 17% de sa valeur en un jour, alors que l’inflation dans le pays, premier importateur de blé russe et ukrainien, est au plus haut depuis trois ans."
Tamwilcom déploie de nouvelles mesures d’appui aux entreprises,2022-03-21,"De nouvelles mesures phares d’appui au financement des entreprises ont été déployées, témoignant du soutien continu de l’Etat en faveur du tissu économique national face à la conjoncture internationale, marquée par la crise ukrainienne, a annoncé lundi Tamwilcom."
Investissements: Mohcine Jazouli prospecte à Londres,2022-03-21,"Mohcine Jazouli, ministre délégué auprès du Chef du gouvernement, chargé de l’investissement, de la convergence et de l’évaluation des politiques publiques donnera, ce lundi 21 mars 2022, le coup d’envoi à Londres du Roadshow organisé par l’Agence Marocaine de Développement des Investissements et des Exportations (AMDIE) avec l’appui de l’ambassade du Royaume du Maroc au Royaume-Uni."
Tanger Med dans le Top 3 des ports les plus efficaces au monde (étude américaine),2022-03-20,"Le port de Tanger Med se classe dans le Top 3 des ports à conteneurs les plus efficaces au monde, selon une nouvelle étude américaine."
Bourse de Casablanca: les tops et les flops de la semaine,2022-03-20,Voici les meilleures et les mauvaises performances des valeurs cotées à la Bourse de Casablanca pour la semaine allant du 14 au 18 mars 2022:
"Formation professionnelle: «on passe à la vitesse supérieure», affirme Younes Sekkouri",2022-03-18,"Le ministre de l’Inclusion économique, de la Petite entreprise, de l’Emploi et des Compétences, Younes Sekkouri, a mis en avant le passage du secteur de la formation professionnelle à la vitesse supérieure à travers la mise en place de réformes structurantes dont une partie incombe à l’Office de la Formation Professionnelle et de la Promotion de Travail (OFPPT)."
"Economie. Un taux directeur, c’est quoi exactement?",2022-03-18,"Alors que ses effets n’épargnent aucun agent économique et que sa moindre variation implique des conséquences, ce nombre décimal mérite bien d’être décrypté."
CGEM: Bouthayna Iraqui Houssaîni nommée présidente de Rabat-Salé-Kenitra,2022-03-18,"L’Assemblée générale élective de la Confédération générale des entreprises du Maroc (CGEM) Rabat-Salé-Kenitra, réunie mercredi, a nommé Bouthayna Iraqui Houssaîni, en tant que présidente pour un mandat de 3 ans."
"Nadia Fettah: «au Maroc, les exportations ont progressé de 24%»",2022-03-17,"Les exportations marocaines ont progressé de 24% au titre de l’année 2021, à la faveur des efforts déployés pour améliorer l’offre exploitable, a indiqué, jeudi, la ministre de l’Economie et des Finances, Nadia Fettah."
Carburants: le gouvernement annonce un plan de soutien aux professionnels du transport,2022-03-16,"Le gouvernement a annoncé, mercredi, sa décision d’allouer un soutien aux professionnels du transport dans le but de préserver le pouvoir d’achat des citoyens compte tenu de la conjoncture actuelle, marquée par une hausse des prix des carburants aux niveaux national et mondial."
Ukraine: l’agence internationale de l’énergie craint un nouveau choc pétrolier,2022-03-16,"L’Agence internationale de l’énergie (AIE) a dit mercredi craindre un « choc » sur l’offre pétrolière mondiale, à la suite des sanctions contre la Russie après l’invasion de l’Ukraine, tout en abaissant ses prévisions de la demande pour 2022."
Tendrara: l’ONHYM s’allie avec Sound Energy pour un raccordement au GME,2022-03-16,"Un accord a été signé entre Sound Energy et l’Office National des Hydrocarbures et des Mines (ONHYM) pour l’interconnexion du futur gazoduc reliant Tendrara au gazoduc Maghreb-Europe (GME), apprend-on mardi auprès de l’Office."
"Pétrole: le Brent clôture en-dessous de 100 dollars, une première depuis trois semaines",2022-03-15,"Le baril de Brent de la mer du Nord pour livraison en mai a clôturé mardi en-deçà de 100 dollars pour la première fois depuis le deuxième jour de l’invasion de l’Ukraine, il y a presque trois semaines, dans un marché préoccupé par un ralentissement économique en Chine."
Forum économique Israël-Maroc: la CGEM et IEBO signent un accord de partenariat stratégique,2022-03-15,"La Confédération Générale des Entreprises du Maroc (CGEM) et la Israeli Business and Employers Association (IEBO) ont signé, mardi à Tel Aviv, un accord de partenariat stratégique, en marge du Forum économique Israël-Maroc."
Chine: le Covid-19 est de retour pour inquiéter les bourses mondiales,2022-03-15,"La recrudescence des cas de Covid-19 en Chine et ses conséquences économiques inquiètent les marchés qui reculaient en Asie et en Europe mardi, tout en restant concentrés sur les pourparlers entre l’Ukraine et la Russie."
Lancement du programme national Forsa pour encourager l’entrepreneuriat chez les jeunes,2022-03-15,"Le gouvernement lance le programme Forsa, un programme ambitieux et novateur qui s’adresse à toutes les personnes âgées de plus de 18 ans porteuses d’idées ou de projets d’entrepreneuriat. Détails."
Hausse des coûts de production: les consommateurs seront-ils impactés?,2022-03-15,"Les industriels marocains ont vu leurs coûts de production grimper de plus de 5,1% en un seul trimestre, selon les chiffres publiés ce mardi par le HCP. Les entreprises auraient-elles déjà commencé à répercuter ces hausses sur leurs prix de vente?"
LGV Marrakech-Agadir: les précisions de l’ONCF au sujet de son appel d’offres,2022-03-15,"L’Office national des chemins de fer (ONCF), dans un souci de transparence et afin de lever toute équivoque, a apporté, lundi, des éclaircissements suite au relai par certains supports d’informations totalement erronées sur les évolutions de la ligne à grande vitesse Marrakech-Agadir."
Prix du carburant: voici ce que promet le gouvernement aux professionnels du transport,2022-03-14,"Le gouvernement a choisi d’intervenir pour soutenir les professionnels du transport en vue de préserver le pouvoir d’achat des citoyens dans une conjoncture marquée par la hausse des prix du carburant aux niveaux national et mondial, a affirmé, lundi à Rabat, le ministre du Transport et de l’Équipement, Mohamed Abdeljalil. Les contours du soutien qui sera accordé à cette catégorie seront dévoilés prochainement."
Agriculture: Ait Melloul accueillera un symposium Maroc-Israël,2022-03-14,"Le premier symposium Maroc-Israël sur l’agriculture et la pisciculture se tiendra, les 16 et 17 mars courant à Ait Melloul, près d’Agadir, à l’initiative de la Chambre de commerce et d’industrie Maroc-Israël (CCIMI)."
Royal Air Maroc et El Al Airlines signent un accord de partage de codes,2022-03-14,"Royal Air Maroc et El Al Israel Airlines ont signé, ce lundi 14 mars 2022 à Tel Aviv, un accord de partage de codes (codeshare). Organisée en marge du vol inaugural de Royal Air Maroc entre Casablanca et Tel Aviv, cette cérémonie a été présidée par les PDG des compagnies marocaine et israélienne, respectivement Hamid Addou et Avigal Soreq."
Grand angle. Les conséquences de la guerre en Ukraine sur la filière céréalière marocaine (Infographies),2022-03-13,"La guerre en Ukraine a bouleversé les importations marocaines de blé qui comptaient justement sur la production venue de la mer Noire. Si la situation semble actuellement sous contrôle, les professionnels du secteur sont en train de revoir toute leur stratégie d’approvisionnement dans un contexte de hausse mondiale des prix des céréales."
Les indicateurs hebdomadaires de BAM en 5 points clés,2022-03-13,Voici cinq points clés des indicateurs hebdomadaires de Bank Al-Maghrib (BAM) au titre de la période allant du 3 au 9 mars :
Le volume des échanges entre la Russie et le Maroc a augmenté de 42% en 2021,2022-03-12,"Le volume des échanges entre la Russie et le Maroc fin 2021 a augmenté de 42%, s’élevant ainsi à 1,6 milliard de dollars, a rapporté mercredi, le représentant commercial de la Fédération de Russie au Maroc, Artem Tsinamdzgvrishvili, qui prévoit notamment une augmentation du nombre de PME russes sur le marché marocain."
Vidéo. CAC inaugure un nouveau Service après-vente premium à Ain Sebâa,2022-03-12,"Le site après-vente dédié aux marques Volkswagen, Skoda et Seat situé entre les Showrooms Volkswagen et Seat à Ain Sebâa, a été inauguré en grande pompe jeudi 10 mars. Avec son concept innovant, ce SAV permet d’assurer une expérience clients unique et premium. Un véritable écrin où le client est roi…"
Port Nador West Med: Nizar Baraka reçoit Paul Noumba Um de la Banque Mondiale,2022-03-12,"Le ministre de l’Équipement et de l’Eau, Nizar Baraka, s’est réuni, jeudi à Rabat, avec le Directeur régional Infrastructures, Moyen-Orient et Afrique du Nord de la Banque Mondiale (BM), Paul Noumba Um, et la délégation qui l’accompagne."
Bourse de Casablanca: l’essentiel du résumé hebdomadaire,2022-03-12,Voici l’essentiel du résumé hebdomadaire de la Bourse de Casablanca pour la semaine allant du 07 au 11 mars:
L’exécutif s’enquiert des effets de la guerre en Ukraine sur le Maroc,2022-03-11,"Des membres du gouvernement ont tenu, jeudi, une réunion avec les acteurs financiers afin d’examiner les impacts potentiels de la crise ukrainienne sur l’économie marocaine."
"Le nombre des exportateurs marocains actifs augmente de 3,7%",2022-03-10,"Le nombre des exportateurs actifs au Maroc s’est situé à 4.309 opérateurs en 2019 contre 3.226 en 2011, soit un taux de croissance annuel moyen (TCAM) de 3,7%, selon l’Office des changes."
Tomates: le gouvernement rassure sur l’abondance de l’offre,2022-03-10,"La production de tomates au Maroc est très suffisante et la filière ne connaît aucun problème en matière de disponibilité du produit, a rassuré jeudi le ministre délégué chargé des Relations avec le Parlement, porte-parole du gouvernement, Mustapha Baitas."
Coopération économique Maroc-UE: Nadia Fettah Alaoui reçoit Olivér Várhelyi,2022-03-10,"La coopération économique et financière entre le Maroc et l’Union européenne (UE) a été au menu d’une rencontre, mercredi à Rabat, entre la ministre de l’Economie et des Finances, Nadia Fettah Alaoui, et le commissaire européen à l’élargissement et à la politique européenne de voisinage, Olivér Várhelyi."
Sécheresse: Akhannouch reçoit les responsables de la Banque mondiale,2022-03-10,"Le Chef du gouvernement, Aziz Akhannouch s’est entretenu, mercredi à Rabat, avec le directeur des opérations pour le Maghreb et Malte à la Banque mondiale (BM), Jesko Hentschel."
"Commande publique: «les entrepreneurs ont besoin de visibilité», plaide Chakib Alj",2022-03-10,"Les chefs d’entreprises ont besoin de visibilité en matière de la commande publique, notamment sur les programmes et sur les taux d’exécution, a indiqué, mercredi à Casablanca, le président de la Confédération générale des entreprises du Maroc (CGEM), Chakib Alj."
Chami appelle à favoriser l’entrepreneuriat des jeunes via le financement des projets,2022-03-09,"Le président du Conseil économique, social et environnemental (CESE), Ahmed Réda Chami, a appelé, mercredi à Rabat, à favoriser l’entrepreneuriat des jeunes, par le financement et l’accompagnement des projets."
"À la place de l’Algérie, l’Espagne comme alternative pour l’approvisionnement en gaz de l’UE?",2022-03-09,"Reliée par gazoduc à l’Algérie et dotée de vastes terminaux méthaniers, l’Espagne pourrait servir d’alternative pour réduire la dépendance de l’Europe au gaz russe, mais cette option impliquerait de lourds travaux afin d’améliorer les connexions avec le reste de l’UE."
Forum Dakhla: le Maroc aiguise l’appétit des investisseurs américains,2022-03-09,"Les opportunités de développement de la coopération économique et commerciale entre le Maroc et les États-Unis d’Amérique ont été mises en exergue, mardi à Dakhla, à l’occasion d’un Forum d’investissement."
L’Amérique prend la tête d’un assaut occidental contre les hydrocarbures russes,2022-03-08,"Après avoir tergiversé, Joe Biden a finalement décidé mardi d’interdire les importations d’hydrocarbures russes, prenant la tête d’un assaut occidental en règle contre la plus précieuse source de revenus de Vladimir Poutine."
"8 mars: au Maroc, les femmes sont encore sous représentées aux postes de direction",2022-03-08,"Les femmes représentent 16,2% des dirigeants d’entreprises au Maroc, selon l’Observatoire Marocain de la très petite, petite et moyenne entreprise (OMTPME)."
La Douane lance sa plateforme d’Open Innovation « Ibdae »,2022-03-07,"L’Administration des Douanes et Impôts Indirects (ADII) a annoncé, lundi, le lancement de sa plateforme d’Open Innovation « IBDAE »."
Région MENA: 7 employeurs sur 10 prévoient d’embaucher des freelanceurs en 2022,2022-03-07,"Selon une nouvelle enquête sur l’emploi dans la région MENA, le travail en freelance connaît un véritable essor. 70% des employeurs ont déclaré que leur entreprise prévoyait d’embaucher des travailleurs indépendants en 2022."
Le gouvernement lance une batterie de mesures pour soutenir les transporteurs,2022-03-07,"Le ministre du transport et de la logistique, Mohamed Abdeljalil, a indiqué, lundi à Rabat, que son département a pris une batterie de mesures visant à simplifier les procédures et à soutenir la compétitivité des entreprises actives dans le domaine du transport, et ce, depuis le démarrage du dialogue avec les professionnels du secteur."
Tourisme: 30 journalistes israéliens en voyage au Maroc pour promouvoir la destination Marrakech,2022-03-07,"Une trentaine de journalistes israéliens, représentant divers médias hébreux, se trouvent actuellement en déplacement à Marrakech pour aider à promouvoir cette destination. Explications."
Trafic aérien: l’essentiel du bilan d’activité du 07 au 28 février de l’ONDA,2022-03-07,Voici l’essentiel du communiqué de l’Office national des aéroports (ONDA) sur le trafic aérien durant la période allant du 07 au 28 février 2022:
Tourisme: la destination Marrakech confirme,2022-03-07,Marrakech confirme sa place de destination touristique de premier ordre au Maroc. Des dizaines de milliers de touristes y sont attendus lors de cette semaine du 7 au 13 mars 2022.
"Pétrole: le baril de Brent frôle les 140 dollars, proche du record absolu",2022-03-07,Les cours du pétrole continuent de grimper poussés par les craintes liées à la guerre de l’Ukraine. Le prix du baril de Brent frôle désormais les 140 dollars.
L’AFEM organise une table ronde à l’occasion du 8 mars,2022-03-06,"A l’occasion de la journée internationale des droits de la femme, l’Association des femmes chefs d’entreprises au Maroc (AFEM organise le 8 mars une table ronde sous le thème « Se tourner vers l’avenir »."
Les indicateurs hebdomadaires de BAM en 5 points clés,2022-03-06,Voici cinq points clés des indicateurs hebdomadaires de Bank Al-Maghrib (BAM) au titre de la période allant du 24 février au 02 mars:
Dakhla abrite le Forum d’investissement Maroc-USA les 8 et 9 mars,2022-03-06,"La ville de Dakhla abritera, les 8 et 9 mars, le Forum d’investissement Maroc et États-Unis d’Amérique, en vue de renforcer les liens économiques, promouvoir la région et faire connaitre ses potentialités et opportunités d’investissement auprès des investisseurs et opérateurs américains."
Orange Maroc à nouveau consacré meilleur réseau très haut débit fixe du royaume,2022-03-05,"Après avoir été couronné par Ookla réseau fixe le plus rapide au Maroc en septembre 2021, le réseau fixe Orange Maroc confirme ses performances élevées sur le très Haut Débit Internet. L’opérateur remporte à nouveau ce prix pour la seconde fois consécutive."
Analyse: le taux directeur pourrait rester stable en 2022,2022-03-05,"Bank Al-Maghrib (BAM) pourrait garder inchangée sa politique monétaire accommodante à travers un taux directeur stable à 1,5% en 2022, prévoit Attijari Global Research (AGR)."
"Tribune libre. Au Maroc, une inflation importée et non d’origine monétaire",2022-03-04,"Yassine Hmimi est docteur en sciences de gestion et banquier d’affaires. Dans cette tribune, il revient sur l’inflation au Maroc et comment Bank Al-Maghrib prend les choses en main."
